age,job,marital,education,balance,housing,loan,contact,duration,campaign,poutcome,y,cluster_id_hierarchical
32,4,2,2,3616,0,0,0,165,2,3,0,6
57,1,1,1,14093,0,0,0,231,5,3,0,6
41,11,2,2,1567,0,0,0,291,2,3,0,6
41,0,1,2,5426,1,0,2,149,2,3,0,5
30,0,2,2,261,0,0,0,233,1,0,0,6
36,1,0,1,2843,0,0,0,473,1,2,0,6
31,10,2,0,406,0,0,0,736,1,3,1,2
36,1,1,1,0,1,0,2,337,1,3,0,5
38,4,2,2,493,1,0,0,553,1,0,0,5
49,9,1,1,5996,0,0,1,345,2,3,0,6
57,7,2,0,3777,1,0,1,65,2,3,0,5
34,4,2,1,524,0,0,2,9,1,3,0,6
32,4,2,2,574,1,0,0,259,2,0,0,5
37,1,1,1,427,1,1,2,371,3,3,0,3
33,6,1,2,483,1,0,0,280,2,3,0,5
56,10,1,0,3391,0,0,0,243,1,3,1,2
27,3,1,0,0,1,0,0,435,3,3,0,5
21,8,2,1,2488,0,0,0,258,6,2,1,2
58,4,1,2,1517,1,0,1,7,5,3,0,5
32,6,1,1,217,1,1,0,317,5,3,0,3
33,1,2,1,22,0,0,0,76,2,0,0,6
25,8,2,1,331,0,0,1,170,4,3,1,2
25,9,2,1,505,0,1,0,386,2,3,1,1
30,7,1,1,1808,1,0,0,83,2,3,0,5
22,0,2,1,4111,0,1,0,65,1,3,0,4
39,1,1,0,52,0,0,0,69,1,3,0,6
46,4,0,2,25,0,0,2,564,2,3,0,6
31,0,0,1,1890,1,0,0,588,1,3,0,5
45,1,1,0,419,0,0,0,113,4,3,0,6
32,9,1,1,2693,1,0,2,16,1,3,0,5
36,1,1,1,-231,0,1,0,779,2,3,0,4
51,4,2,2,-55,1,0,0,281,2,0,0,5
34,6,2,2,462,0,0,0,1877,3,3,1,2
24,10,2,1,119,0,0,2,51,1,3,0,6
45,9,2,1,586,0,1,0,32,3,3,0,4
32,1,2,1,228,0,0,1,176,1,0,0,6
77,5,0,2,4659,0,0,0,161,1,3,1,2
41,1,1,0,168,1,0,0,187,3,3,0,5
37,1,1,0,0,1,0,2,24,1,3,0,5
43,1,1,3,-715,1,0,2,67,3,3,0,5
48,0,1,3,0,1,0,0,85,1,0,0,5
27,9,2,1,769,1,0,2,317,2,3,0,5
33,4,2,2,0,0,0,0,236,10,3,0,6
29,0,2,1,428,1,1,0,54,1,0,0,3
34,4,2,2,0,0,0,0,71,1,3,0,6
52,4,1,2,-970,1,0,0,489,1,3,1,7
60,4,1,3,6313,0,0,2,39,2,3,0,6
32,4,0,2,948,0,0,0,204,2,3,0,6
32,4,2,2,0,1,0,0,455,2,3,0,5
56,7,0,3,1877,1,0,2,86,1,3,0,5
31,4,2,2,874,1,0,0,190,2,3,0,5
42,0,1,1,323,1,1,2,280,2,3,0,3
35,4,1,2,106,0,1,0,588,2,3,0,4
56,5,1,0,1906,0,1,2,45,9,3,0,4
48,9,1,1,1152,1,0,0,168,5,3,0,5
46,0,1,1,179,1,0,0,194,4,1,0,5
37,9,2,3,391,1,0,2,103,3,3,0,5
41,2,1,3,89,1,0,2,333,2,3,0,5
36,4,2,2,442,1,1,0,102,3,3,0,3
45,10,0,0,-249,1,1,2,92,1,3,0,3
55,2,1,1,8104,0,0,0,213,2,3,0,6
39,9,1,1,501,0,0,2,289,1,3,0,6
35,9,0,1,308,0,0,0,77,2,3,0,6
55,0,1,1,602,0,0,0,324,3,2,1,2
55,9,1,1,273,1,0,0,84,3,0,0,5
27,6,2,1,50,0,0,0,168,1,3,0,6
34,9,1,1,1641,1,0,0,380,1,3,0,5
34,1,1,2,20,0,0,2,10,1,3,0,6
25,0,2,1,4590,1,0,2,199,2,3,0,5
41,0,2,1,-256,0,1,2,35,3,3,0,4
43,7,1,1,978,1,1,2,82,2,3,0,3
28,4,2,2,80,0,0,0,676,2,0,1,2
31,0,2,1,2104,1,0,2,455,1,3,0,5
78,3,1,1,499,0,0,1,80,4,3,0,6
45,1,0,1,1269,1,0,0,549,2,3,0,5
48,9,1,2,310,0,0,2,135,1,3,0,6
32,1,2,1,1143,1,1,0,412,1,3,0,3
42,9,1,1,2980,0,0,2,101,3,3,0,6
37,4,2,2,37,0,0,0,253,2,3,0,6
40,0,2,1,462,1,1,0,272,1,1,0,3
32,0,1,1,1031,1,0,0,84,1,3,0,5
42,4,1,2,9009,0,0,0,135,2,3,0,6
43,0,1,1,-465,1,1,0,166,1,3,0,3
44,0,1,1,5181,1,1,0,18,7,3,0,3
37,0,1,1,176,1,0,0,147,2,0,0,5
37,11,1,3,1699,0,0,2,63,1,3,0,6
37,0,1,2,0,1,0,0,65,2,0,0,5
28,9,2,2,172,1,1,0,194,2,3,0,3
32,7,2,1,0,0,1,0,333,2,3,0,4
34,0,2,1,6979,1,0,0,14,5,3,0,5
40,0,0,1,6,0,0,2,140,1,3,0,6
34,7,1,1,-62,1,0,2,109,3,3,0,5
34,6,1,2,1972,1,0,0,61,2,3,0,5
34,0,1,2,899,1,0,1,377,3,2,0,5
37,7,2,1,21,1,0,0,96,1,1,0,5
36,9,1,1,23,1,0,0,152,2,0,0,5
56,5,1,1,-1206,1,0,0,382,2,3,1,7
49,1,1,0,0,1,1,1,97,6,3,0,3
33,6,1,1,215,1,0,0,543,12,3,0,5
30,4,2,2,1372,0,0,0,240,2,3,0,6
36,7,1,1,1981,0,0,2,48,2,3,0,6
23,8,2,1,9216,0,0,0,471,2,3,0,6
57,5,0,1,39,1,0,0,354,3,3,0,5
27,1,2,1,5563,1,0,2,435,2,3,0,5
38,7,1,1,1,0,1,0,152,2,3,0,4
42,9,1,2,782,0,0,0,285,1,3,0,6
75,5,1,1,3771,0,0,1,185,1,2,1,2
34,9,2,2,992,1,0,0,301,1,2,0,5
48,9,1,1,1526,0,0,0,273,2,3,0,6
35,9,2,2,2658,1,0,0,768,2,0,1,7
39,4,0,2,1315,1,0,0,1337,4,0,0,5
29,1,2,2,455,0,0,1,403,1,3,1,2
45,9,2,2,0,1,0,0,139,2,3,0,5
42,9,1,1,2030,1,1,0,196,1,3,0,3
29,9,1,1,1599,1,0,0,115,1,0,0,5
38,7,2,1,-196,1,0,0,60,1,0,0,5
56,5,1,1,1333,0,0,0,17,14,3,0,6
36,9,2,1,9149,1,0,0,141,3,3,0,5
25,1,2,1,-350,1,0,2,95,3,3,0,5
38,9,1,2,432,1,0,0,10,2,1,0,5
57,6,1,1,11494,0,0,0,198,1,3,0,6
31,4,1,2,-253,0,0,0,220,4,3,0,6
42,4,1,2,372,1,0,0,654,2,3,1,7
45,9,1,1,1410,0,0,0,71,2,3,0,6
30,1,1,1,975,1,0,0,256,2,0,0,5
49,1,1,0,305,1,1,1,834,10,3,0,3
49,7,1,1,400,0,0,0,151,3,3,0,6
53,5,1,2,-22,1,0,0,20,3,3,0,5
37,9,1,1,4030,1,0,2,178,5,3,0,5
49,1,1,0,365,0,0,2,59,2,3,0,6
41,6,1,0,204,0,0,0,111,7,3,0,6
54,4,1,0,1691,1,0,0,186,1,3,0,5
32,7,2,1,406,1,0,2,227,1,3,0,5
33,9,1,1,-204,0,0,0,297,3,3,0,6
33,9,1,1,359,1,0,0,210,1,1,0,5
36,1,1,0,123,1,0,0,9,1,3,0,5
35,9,1,2,0,1,1,0,112,1,1,0,3
52,11,1,1,142,0,0,0,112,6,3,0,6
40,2,1,2,3571,0,0,2,222,3,3,0,6
44,9,2,1,33,1,0,0,195,3,0,0,5
45,1,2,1,0,1,0,0,768,2,2,0,5
30,8,2,1,3096,0,0,0,123,1,3,0,6
48,9,0,1,20,0,0,0,145,3,3,0,6
33,1,1,1,3576,1,0,0,124,1,1,0,5
57,9,1,3,206,1,0,2,216,3,3,0,5
57,3,1,0,7082,0,0,2,69,3,3,0,6
51,10,1,2,1634,1,0,0,168,4,3,0,5
34,0,2,1,1,1,0,0,483,7,3,0,5
50,6,1,2,4012,0,0,0,690,3,3,0,6
44,4,1,2,3762,0,0,0,125,12,3,0,6
27,0,1,1,-247,1,1,2,344,2,3,0,3
50,1,1,1,606,1,0,2,673,2,3,0,5
36,4,1,2,0,1,0,0,60,1,1,0,5
42,4,1,1,-189,1,0,2,247,2,3,0,5
32,10,2,1,0,0,0,0,123,2,3,0,6
42,4,1,2,484,1,0,0,144,2,3,0,5
43,9,1,1,0,0,1,0,9,2,0,0,4
31,4,1,2,395,1,0,0,155,3,3,0,5
32,4,1,2,2349,0,0,0,134,5,3,0,6
55,1,0,0,410,0,1,0,221,2,3,0,4
58,5,1,0,3401,1,0,0,84,3,0,0,5
46,1,1,0,222,0,0,0,71,2,3,0,6
55,1,1,1,989,1,1,2,246,4,3,0,3
34,4,1,2,415,0,1,0,361,2,3,0,4
28,10,2,1,16,0,0,0,119,4,3,0,6
42,9,0,2,7190,1,0,0,375,2,3,0,5
29,1,2,1,482,0,1,0,1097,3,3,1,1
54,3,1,1,209,1,1,0,97,1,3,0,3
32,9,2,1,0,0,0,0,181,2,3,0,6
39,9,2,2,5803,0,0,0,83,3,3,0,6
53,2,1,2,624,0,1,0,180,4,3,0,4
58,9,1,2,883,0,0,0,543,1,0,0,6
40,6,1,1,1516,1,1,2,373,1,3,0,3
29,8,2,1,872,1,0,2,230,1,3,0,5
33,9,1,2,-988,1,1,0,83,3,3,0,3
38,0,2,1,902,1,0,1,58,13,3,0,5
56,7,0,1,1007,0,0,0,88,6,3,0,6
40,7,1,1,0,1,0,0,297,1,0,0,5
24,1,2,1,174,1,1,0,487,1,3,1,8
46,4,1,1,12186,0,0,2,29,3,3,0,6
35,6,1,1,524,1,0,0,484,4,3,0,5
35,1,2,2,0,1,0,0,262,4,3,0,5
34,9,1,1,4,1,0,2,644,1,3,0,5
35,3,1,2,11219,0,0,0,699,2,0,0,6
38,9,2,2,0,0,0,0,247,2,3,0,6
50,1,1,0,5776,0,0,0,49,3,3,0,6
51,1,0,0,37,1,0,0,341,1,3,0,5
59,6,1,2,593,0,0,2,64,2,3,0,6
32,1,1,1,1148,1,0,0,121,1,3,0,5
37,1,2,1,3561,1,0,2,98,1,3,0,5
42,0,0,1,63,0,0,2,88,6,3,0,6
40,8,1,1,260,0,0,2,197,6,3,0,6
28,9,2,2,2269,1,0,2,331,1,3,0,5
47,0,1,1,1060,1,0,2,83,3,3,0,5
27,6,1,1,-220,1,0,2,138,2,3,0,5
41,4,1,2,49,1,0,0,312,5,3,0,5
34,0,1,2,69,0,1,0,120,3,2,1,1
50,1,1,0,4108,1,0,0,526,2,3,1,7
47,1,1,1,480,1,0,2,211,2,3,0,5
53,7,1,1,4994,0,0,0,62,6,3,0,6
53,9,0,1,0,1,1,0,135,5,3,0,3
47,4,1,2,3681,0,0,0,101,2,3,0,6
49,2,0,3,-701,1,0,0,988,2,3,1,7
29,4,1,2,451,0,0,0,451,1,3,0,6
45,1,0,0,-311,1,0,2,1030,1,3,1,7
38,2,1,1,593,1,1,0,1484,24,3,1,8
32,1,1,1,759,1,0,0,317,5,3,1,7
70,5,0,0,4531,0,0,0,445,1,3,0,6
65,5,0,0,1840,0,0,0,383,2,0,0,6
56,1,1,1,345,1,0,1,605,1,3,0,5
35,1,1,1,1287,1,0,0,330,2,3,0,5
56,4,1,3,353,0,1,0,171,2,3,0,4
56,9,1,1,205,0,1,0,442,2,3,0,4
49,2,1,1,687,1,0,0,772,1,3,1,7
38,10,1,0,1147,1,1,2,249,5,3,0,3
35,4,1,2,4286,1,0,2,357,1,3,0,5
38,0,1,2,605,0,0,0,147,2,3,0,6
49,1,1,1,8545,1,1,0,199,7,0,0,3
55,4,1,3,559,0,0,0,271,2,3,0,6
43,1,2,0,2,1,0,0,783,3,3,0,5
43,4,1,2,2,0,1,0,472,2,3,0,4
25,0,2,2,760,1,0,0,223,3,0,1,7
30,1,1,0,1317,1,0,2,395,2,3,0,5
46,1,1,1,182,0,0,0,56,1,3,0,6
50,0,1,0,276,0,1,2,641,6,3,0,4
35,2,1,1,2971,0,0,0,429,4,0,1,2
26,10,2,1,1064,0,0,2,113,1,3,0,6
45,0,1,3,1783,0,0,2,11,11,3,0,6
37,1,1,1,-67,0,0,0,157,1,3,0,6
60,6,2,2,179,0,1,0,79,4,3,0,4
38,4,1,2,1199,0,0,0,178,1,2,1,2
47,1,1,0,214,1,1,2,168,1,3,0,3
33,9,1,1,6699,0,0,0,425,1,0,0,6
51,10,1,1,1760,0,1,0,162,1,3,0,4
35,2,2,2,145,1,0,0,799,2,3,1,7
35,10,1,1,978,0,0,0,1370,3,2,1,2
48,0,2,1,1150,1,0,2,357,1,3,0,5
37,0,1,1,121,0,0,0,22,6,3,0,6
29,9,2,2,828,1,0,0,215,3,1,0,5
34,0,1,1,244,1,0,0,56,4,3,0,5
32,7,1,0,228,1,0,0,1017,6,3,1,7
30,4,2,2,424,0,0,0,298,4,3,1,2
47,4,0,2,447,0,1,2,126,1,3,0,4
33,1,1,0,-195,0,0,2,9,1,3,0,6
33,4,2,2,1410,1,0,0,8,1,0,0,5
63,5,1,0,1084,0,0,0,201,1,2,0,6
51,6,0,0,10924,0,0,0,106,2,3,0,6
41,4,1,2,832,1,1,0,164,1,0,0,3
56,5,1,2,478,0,0,0,97,1,3,0,6
60,4,2,2,0,0,1,0,151,1,3,0,4
41,6,2,2,3950,1,0,2,96,2,3,0,5
37,4,2,3,504,1,0,0,555,1,3,0,5
36,1,2,1,219,1,1,0,270,2,0,0,3
57,4,1,2,1602,0,0,0,339,3,3,0,6
55,4,1,0,2587,0,0,0,328,2,2,1,2
44,0,1,1,0,1,1,2,159,1,3,0,3
47,6,1,2,2303,1,0,0,323,2,0,0,5
31,1,1,1,1660,1,0,0,342,1,3,0,5
35,4,1,2,32,1,0,0,180,1,3,0,5
39,4,1,2,278,0,1,0,60,3,3,0,4
50,4,1,2,4,0,0,0,223,1,0,0,6
29,4,1,2,318,1,0,0,1434,2,0,0,5
30,7,2,1,209,1,0,2,30,2,3,0,5
46,7,1,1,271,1,0,2,134,4,3,0,5
27,4,2,3,3196,0,0,0,10,2,3,0,6
48,0,0,1,4099,0,0,0,397,2,3,1,2
26,8,2,1,2572,1,0,0,620,1,3,0,5
36,4,2,2,339,0,0,0,6,6,3,0,6
42,1,1,0,0,1,1,0,209,2,3,0,3
50,3,1,0,395,1,0,2,419,2,3,0,5
49,1,1,1,2039,1,0,0,283,2,3,0,5
45,4,1,2,5450,0,0,0,188,2,3,0,6
23,8,2,1,780,0,0,0,267,1,3,0,6
38,9,2,1,0,1,0,0,196,2,3,0,5
32,4,2,2,8436,1,0,0,245,1,0,0,5
60,9,2,0,11262,0,0,0,323,1,3,1,2
30,2,1,1,946,1,0,0,1065,1,1,0,5
58,3,1,2,497,0,0,2,138,5,3,0,6
60,5,1,0,55,0,0,0,207,1,3,0,6
38,7,1,1,-140,0,0,2,456,3,3,0,6
51,9,1,1,-379,1,0,0,261,1,3,0,5
42,0,1,1,-396,1,0,0,80,1,0,0,5
30,7,2,1,0,1,0,0,131,6,0,0,5
40,4,1,0,733,1,0,2,94,7,3,0,5
37,4,1,2,393,1,0,0,567,3,0,1,7
53,9,0,0,7290,1,0,2,153,1,3,0,5
27,7,2,1,468,1,0,0,109,1,3,0,5
39,1,1,1,0,1,0,0,53,1,0,0,5
39,1,1,0,3705,1,0,2,77,1,3,0,5
59,5,1,2,9676,0,0,1,234,2,3,1,2
37,7,1,1,1328,1,0,1,121,2,0,0,5
41,1,1,0,8,1,0,0,155,2,3,0,5
45,1,1,0,61,0,0,0,108,1,3,0,6
48,4,1,2,6613,0,0,2,159,3,3,0,6
48,9,1,1,302,1,0,2,208,3,3,0,5
32,1,1,1,1005,0,0,0,215,1,3,0,6
35,7,1,1,109,1,0,2,597,3,3,0,5
33,4,2,2,1240,1,0,0,505,2,1,0,5
28,1,2,0,0,1,1,2,380,4,3,0,3
64,5,1,3,2923,0,0,0,120,1,3,0,6
35,9,1,1,0,0,0,0,106,4,3,0,6
33,1,1,1,43,1,0,0,332,2,0,0,5
41,9,1,1,288,1,0,2,221,4,3,0,5
34,0,1,1,613,1,0,0,80,1,3,0,5
37,9,2,2,6101,0,0,0,60,5,2,0,6
38,1,1,0,168,1,1,1,212,3,3,0,3
39,1,1,0,7685,1,0,0,493,3,3,0,5
35,9,0,2,4515,1,0,0,98,2,3,0,5
28,1,2,1,517,0,1,0,681,1,3,1,1
27,1,2,1,148,0,0,0,203,1,3,0,6
48,5,1,0,-285,0,1,0,157,1,3,0,4
50,1,1,1,887,0,0,2,287,1,3,0,6
45,6,1,1,3098,1,0,0,159,2,3,0,5
41,9,1,2,744,1,0,2,125,1,3,0,5
39,9,1,1,130,0,0,0,202,2,3,0,6
44,4,1,1,438,1,0,1,37,3,0,0,5
54,0,1,1,0,0,0,0,161,1,0,1,2
49,4,1,2,322,0,0,0,72,4,3,0,6
34,1,2,1,186,0,0,0,342,1,3,0,6
75,5,0,2,3810,1,0,0,262,1,0,1,7
42,4,1,2,0,0,0,0,325,2,3,0,6
53,1,1,1,4380,0,0,1,223,7,3,0,6
49,4,0,2,755,0,0,0,1212,4,3,1,2
31,7,2,1,2070,0,0,0,319,2,3,0,6
45,1,2,0,999,0,0,0,182,2,3,0,6
39,6,1,1,167,1,1,0,330,1,3,0,3
46,9,1,1,1322,1,1,0,514,1,3,0,3
42,0,0,1,1076,1,0,2,213,1,3,0,5
37,4,1,2,502,1,0,0,551,1,0,0,5
26,9,2,2,1216,1,0,0,472,2,3,0,5
37,4,2,2,876,1,0,0,140,4,0,0,5
36,7,2,1,342,1,0,2,142,1,3,0,5
29,1,2,0,950,1,0,2,135,3,3,0,5
36,1,1,0,973,1,1,2,293,1,3,0,3
26,9,1,2,3825,1,0,2,107,1,3,0,5
32,1,1,1,2366,1,0,2,127,2,3,0,5
40,4,1,2,542,1,0,0,1816,1,3,0,5
53,4,1,0,995,0,0,0,200,3,3,0,6
29,4,1,2,20,1,0,0,418,1,3,0,5
34,9,2,2,228,1,0,0,387,4,3,0,5
43,1,1,1,130,0,0,0,156,1,0,0,6
56,4,1,2,217,0,1,0,121,2,3,0,4
55,2,0,2,0,0,0,2,108,2,3,0,6
31,6,1,2,259,1,0,0,47,1,3,0,5
27,0,2,1,619,1,0,0,16,5,1,0,5
36,4,1,1,644,1,0,0,54,2,3,0,5
44,4,1,2,22,1,0,0,265,2,3,0,5
37,0,0,2,4303,1,0,2,168,1,3,0,5
30,0,2,1,239,1,0,0,115,3,3,0,5
42,9,2,1,275,0,0,0,31,8,3,0,6
30,4,1,2,1221,1,0,1,279,4,3,1,7
62,5,1,1,816,0,0,0,28,2,3,0,6
24,1,1,1,1222,1,0,0,369,1,3,0,5
31,9,1,1,2363,1,0,2,247,1,3,0,5
66,5,1,2,2262,0,0,0,155,1,3,0,6
47,0,1,1,2,0,0,0,89,1,3,0,6
39,2,1,2,2,1,0,0,180,1,3,0,5
35,9,1,1,4508,1,0,0,854,1,3,1,7
35,0,0,1,-402,1,0,0,46,1,3,0,5
27,9,1,1,1577,1,1,2,266,2,3,0,3
32,1,1,1,34,1,0,0,321,2,3,0,5
44,4,1,2,795,0,0,0,99,24,3,0,6
42,1,1,1,117,1,0,2,147,1,3,0,5
34,6,2,2,5462,0,0,0,430,1,3,1,2
25,7,2,1,402,0,1,0,264,1,3,0,4
40,9,2,1,641,0,0,0,156,6,3,0,6
43,4,0,2,36,0,0,0,118,1,0,0,6
55,10,1,2,383,0,0,2,343,3,3,0,6
50,1,1,1,283,1,0,0,226,3,3,0,5
45,4,0,2,0,0,0,2,5,1,3,0,6
35,1,0,1,3102,1,0,0,138,1,3,0,5
32,1,1,1,889,1,0,0,185,1,2,1,7
59,3,1,1,0,0,0,1,722,1,0,0,6
34,6,1,1,-370,1,0,2,748,1,3,0,5
39,4,1,2,-606,1,0,2,142,1,3,0,5
40,4,2,1,10378,1,0,0,523,3,3,0,5
36,1,2,0,1313,1,0,2,8,10,3,0,5
40,4,1,2,8969,1,0,0,153,1,3,0,5
55,6,1,1,-196,1,0,2,210,2,3,0,5
38,2,1,1,15,1,0,0,121,1,3,0,5
61,0,1,1,4608,0,0,0,212,1,3,1,2
41,4,1,2,666,1,0,2,253,3,3,0,5
57,1,1,0,452,1,0,2,139,4,3,0,5
48,1,1,1,149,1,0,2,71,1,3,0,5
77,5,1,2,7802,0,0,1,421,1,2,1,2
35,7,1,1,1453,1,0,2,199,1,3,0,5
54,1,1,1,1480,1,0,2,108,1,3,0,5
37,4,2,3,715,1,0,2,247,2,3,0,5
56,4,2,1,237,1,0,1,236,4,3,0,5
40,9,1,1,694,1,0,0,97,4,0,0,5
40,4,1,2,0,0,0,0,109,8,3,0,6
54,4,1,2,55,1,0,0,112,2,3,0,5
55,3,1,0,136,1,0,2,15,10,3,0,5
55,7,0,1,-404,1,0,0,502,3,3,0,5
52,1,1,0,779,1,0,2,30,3,3,0,5
55,1,2,0,1187,1,0,2,193,2,3,0,5
33,4,1,2,641,1,0,0,347,2,3,0,5
52,1,1,3,826,1,0,2,468,2,3,0,5
33,7,0,1,991,1,0,2,148,1,3,0,5
53,0,1,1,1796,0,0,1,295,1,2,1,2
46,0,1,1,22,0,0,0,388,6,3,1,2
44,9,2,1,244,1,0,0,1735,4,3,1,7
48,4,0,2,1328,1,0,2,339,1,3,0,5
50,3,1,1,7317,1,0,0,172,1,0,0,5
34,9,2,1,4943,1,1,0,117,2,3,0,3
38,9,2,1,258,0,1,2,587,2,3,0,4
42,4,2,2,515,1,0,0,501,2,3,0,5
32,4,2,2,12607,0,0,0,203,5,0,0,6
58,0,1,1,2,1,1,1,282,9,3,0,3
31,4,1,2,13,0,0,0,110,5,3,0,6
19,8,2,0,103,0,0,0,104,2,3,1,2
41,4,1,2,3872,0,0,0,231,1,3,0,6
31,10,1,1,296,1,0,2,378,3,3,0,5
52,6,2,0,217,0,1,0,193,6,3,0,4
42,6,0,2,360,1,0,2,110,5,3,0,5
41,1,2,1,428,1,0,0,92,1,3,0,5
30,1,2,1,315,0,0,0,1407,1,3,1,2
38,1,1,1,121,1,1,0,168,1,0,0,3
32,4,1,2,820,1,0,0,738,3,3,0,5
52,9,1,1,195,1,0,0,220,1,0,1,7
48,4,0,2,108,1,0,2,89,2,3,0,5
36,4,1,2,-381,1,0,0,30,29,3,0,5
45,10,0,0,757,0,0,0,103,1,0,0,6
34,9,1,2,691,1,1,2,70,1,3,0,3
36,1,1,0,1925,1,0,0,904,2,3,1,7
34,4,1,2,902,1,0,0,159,1,1,0,5
61,5,1,1,5207,0,0,0,336,1,1,0,6
54,7,1,1,0,0,0,2,220,1,3,0,6
50,2,1,1,665,0,0,1,238,1,3,0,6
43,0,0,1,738,1,0,0,585,4,0,0,5
47,1,1,0,233,0,0,0,293,3,3,0,6
45,7,1,1,-839,1,0,2,68,1,3,0,5
